,Month,Day,Hour,District,Crime_Count,Alarm
16369,5,2,9,31.0,1,0
2113,1,3,10,31.0,1,0
12673,4,2,10,31.0,1,0
1584,1,2,16,31.0,1,0
1583,1,2,13,31.0,1,0
24294,7,3,9,31.0,1,0
9505,3,3,9,31.0,1,0
32219,9,4,14,31.0,1,0
21651,6,5,18,31.0,1,0
31161,9,2,10,31.0,1,0
21122,6,4,18,31.0,1,0
23765,7,2,9,31.0,1,0
36972,10,6,1,31.0,1,0
19009,6,0,21,31.0,1,0
8976,3,2,10,31.0,1,0
28519,8,4,9,31.0,1,0
16371,5,2,17,31.0,1,0
16370,5,2,11,31.0,1,0
42776,12,3,10,31.0,1,0
31690,9,3,10,31.0,1,0
3170,1,5,10,31.0,1,0
29048,8,5,10,31.0,1,0
22708,7,0,9,31.0,1,0
25351,7,5,11,31.0,1,0
32749,9,5,12,31.0,1,0
32748,9,5,10,31.0,1,0
10021,3,4,11,25.0,34,2
39075,11,3,16,25.0,27,1
8974,3,2,22,25.0,40,2
8975,3,2,23,25.0,21,1
10031,3,4,21,25.0,40,2
39080,11,3,21,25.0,36,2
39079,11,3,20,25.0,37,2
10030,3,4,20,25.0,50,2
39078,11,3,19,25.0,30,1
39077,11,3,18,25.0,46,2
39076,11,3,17,25.0,38,2
39073,11,3,14,25.0,37,2
39074,11,3,15,25.0,26,1
8972,3,2,20,25.0,36,2
39072,11,3,13,25.0,26,1
39071,11,3,12,25.0,43,2
39070,11,3,11,25.0,34,2
39069,11,3,10,25.0,33,1
39068,11,3,9,25.0,32,1
10029,3,4,19,25.0,55,2
10028,3,4,18,25.0,54,2
39067,11,3,8,25.0,28,1
39066,11,3,7,25.0,14,0
8973,3,2,21,25.0,40,2
8969,3,2,17,25.0,37,2
8971,3,2,19,25.0,36,2
8958,3,2,6,25.0,9,0
8952,3,2,0,25.0,27,1
8953,3,2,1,25.0,24,1
8954,3,2,2,25.0,8,0
8955,3,2,3,25.0,11,0
8956,3,2,4,25.0,5,0
38553,11,2,22,25.0,26,1
38554,11,2,23,25.0,27,1
10033,3,4,23,25.0,32,1
10032,3,4,22,25.0,31,1
8957,3,2,5,25.0,13,0
8959,3,2,7,25.0,9,0
8970,3,2,18,25.0,38,2
8960,3,2,8,25.0,28,1
8961,3,2,9,25.0,41,2
8962,3,2,10,25.0,30,1
